n,alpha,EFT_time,EST_time,SD_time,EFT_size,EST_size,SD_size
1024,0.1,155.8,259.36,154.98,271,186,7
2048,0.1,396.14,301.08,439.5,545,366,4
4096,0.1,958.76,804.72,833.28,1073,738,8
8192,0.1,2486.1,1947.06,1645.6,2172,1458,10
16384,0.1,4380.06,4494.98,3779.66,4337,2932,12
32768,0.1,9463.04,9433.58,8157.76,8519,5844,13
65536,0.1,20217.8,20115.7,17683,16552,11210,9
1024,1,0,370.08,141.38,718,697,7
2048,1,398.9,464.68,211.16,1454,1427,7
4096,1,854.34,1040.3,635.5,2867,2812,7
8192,1,2101.36,2216.34,1576.46,5791,5672,16
16384,1,4498.46,4413.92,4023.08,11182,10962,11
32768,1,9553.78,9480.94,8328.14,20704,20704,10
65536,1,20839.1,20054.9,18130.8,28337,28337,13
1024,5,132.46,153.36,150.62,944,944,4
2048,5,312.42,381.6,417.82,1906,1906,11
4096,5,971.04,846.6,821.38,3716,3710,11
8192,5,2027.96,2080.1,1558.86,7204,7204,10
16384,5,4650.4,4441.5,3669.22,12889,12889,13
32768,5,9640.78,9118.26,8404.28,20775,20775,15
65536,5,20878.8,19869.2,17640.7,28393,28393,11
